record_id,source_system,hotel_name,address_line1,address_line2,city,state,country,postal_code,phone_number
R001,GDS_A,Marriott Bangalore Outer Ring Road,Outer Ring Road,Doddanekundi,Bangalore,Karnataka,IN,560103,-12345667
R002,OTA_B,Marriott ORR Blr - Outer Ring Rd,Outer Ring Rd,,Bengaluru,Karnataka,India,560103,-12345667
R004,GDS_A,Holiday Inn Express Whitefield,ITPL Main Road,,Bangalore,Karnataka,IN,560066,-99998877
R005,OTA_B,Holiday Inn Exp. Bengaluru Whitefield,ITPL Rd,Whitefield,Bengaluru,KA,India,560066,-99998877
R007,GDS_A,Hilton London Heathrow Airport,Heathrow Airport Terminal 4,,London,England,GB,TW6 3AF,-87589976
R008,OTA_B,Hilton LHR T4,"Terminal 4, Heathrow Airport",,London,ENG,UK,TW6 3AF,-87589976
R010,GDS_A,Courtyard New York Times Square,114 W 40th St,,New York,NY,US,10018,-3910299
R011,OTA_B,Courtyard NYC Times Sq,114 West 40th Street,,New York,New York,USA,10018,-3910299
R013,GDS_A,Ibis Paris Montmartre 18ème,5 Rue Caulaincourt,,Paris,Île-de-France,FR,75018,-55305968
R014,OTA_B,ibis Paris Montmartre 18th,5 Rue Caulaincourt,,Paris,Ile de France,France,75018,-55305968
R016,GDS_A,Park Hyatt Tokyo,3-7-1-2 Nishi-Shinjuku,Shinjuku-Ku,Tokyo,Tokyo,JP,163-1055,-53221156
R017,OTA_B,Park Hyatt Hotel Tokyo,3-7-1-2 Nishi Shinjuku,Shinjuku,Tokyo,Tokyo Prefecture,Japan,1631055,-53221156
R019,GDS_A,The Oberoi Udaivilas,Haridasji Ki Magri,Pichola,Udaipur,Rajasthan,IN,313001,-2433503
R021,GDS_A,Shangri-La Sydney,176 Cumberland Street,The Rocks,Sydney,NSW,AU,2000,-92505941
R022,OTA_B,Shangri La Hotel Sydney,176 Cumberland St,The Rocks,Sydney,New South Wales,Australia,2000,-92505941
R024,GDS_A,Hotel Green Valley,Main Bazaar Road,,Manali,Himachal Pradesh,IN,175131,-224144
R026,GDS_A,Marriott Seoul Central,1 Main Street,,Seoul,Seoul,KR,28289,1
R027,GDS_A,Marriott Seoul City Center,1 Main St,Downtown,Seoul,Seo,South Korea,28289,1
R029,OTA_B,Marriott Rome Central,1 Main Street,,Rome,RM,IT,88907,1
R030,DIRECT_C,Marriott Rome City Center,1 Main St,Downtown,Rome,RM,Italy,88907,1
R032,DIRECT_C,Radisson Doha Central,1 Main Street,,Doha,Doha,QA,30926,1
R033,OTA_C,Radisson Doha City Center,1 Main St,Downtown,Doha,Doh,Qatar,30926,1
R035,GDS_A,Ibis Cape Town Central,1 Main Street,,Cape Town,Western Cape,ZA,22156,1
R036,OTA_C,Ibis Cape Town City Center,1 Main St,Downtown,Cape Town,Wes,South Africa,22156,1
R038,OTA_C,Marriott Auckland Central,1 Main Street,,Auckland,Auckland,NZ,59615,1
R039,OTA_C,Marriott Auckland City Center,1 Main St,Downtown,Auckland,Auc,New Zealand,59615,1
R041,GDS_A,Marriott Vienna Central,1 Main Street,,Vienna,Vienna,AT,20458,1
R042,DIRECT_C,Marriott Vienna City Center,1 Main St,Downtown,Vienna,Vie,Austria,20458,1
R044,OTA_C,Independent Doha Central,1 Main Street,,Doha,Doha,QA,56566,1
R045,GDS_A,Independent Doha City Center,1 Main St,Downtown,Doha,Doh,Qatar,56566,1
R047,OTA_B,Ibis Montreal Central,1 Main Street,,Montreal,QC,CA,93886,1
R048,OTA_C,Ibis Montreal City Center,1 Main St,Downtown,Montreal,QC,Canada,93886,1
R050,OTA_C,Marriott Chicago Central,1 Main Street,,Chicago,IL,US,18675,1
R051,OTA_B,Marriott Chicago City Center,1 Main St,Downtown,Chicago,IL,USA,18675,1
R053,OTA_C,Independent Hanoi Central,1 Main Street,,Hanoi,Hanoi,VN,42325,1
R054,DIRECT_C,Independent Hanoi City Center,1 Main St,Downtown,Hanoi,Han,Vietnam,42325,1
R056,GDS_A,Ibis Copenhagen Central,1 Main Street,,Copenhagen,Hovedstaden,DK,74686,1
R057,GDS_A,Ibis Copenhagen City Center,1 Main St,Downtown,Copenhagen,Hov,Denmark,74686,1
