record_id,source_system,hotel_name,address_line1,address_line2,city,state,country,postal_code,phone_number,hotel_text,block_key,canonical_hotel_id
R003,DIRECT_C,Hotel Marriot Bengaluru ORR,Outer Ring Road,,Bangalore,KA,IN,560103,-12345667,Hotel Marriot Bengaluru ORR | Outer Ring Road | Bangalore | KA | IN | 560103 | -12345667,560103,HID_000001
R006,DIRECT_C,Holiday Inn Express Blr-Whitefield,ITPL Main Rd,,Bangalore,Karnataka,IN,560066,-99998877,Holiday Inn Express Blr-Whitefield | ITPL Main Rd | Bangalore | Karnataka | IN | 560066 | -99998877,560066,HID_000002
R009,OTA_C,Hilton London Heathrow T4 Hotel,Terminal 4 Heathrow,Hounslow,London,England,GB,TW6 3AF,-87589976,Hilton London Heathrow T4 Hotel | Terminal 4 Heathrow | London | England | GB | TW6 3AF | -87589976,tw63af,HID_000003
R012,OTA_C,Courtyard by Marriott Times Square NY,114 W. 40th St.,Midtown,New York,NY,US,10018,-3910299,Courtyard by Marriott Times Square NY | 114 W. 40th St. | New York | NY | US | 10018 | -3910299,10018,HID_000004
R015,DIRECT_C,Hotel Ibis Paris Montmartre,5 Rue Caulaincourt,Montmartre,Paris,IDF,FR,75018,-55305968,Hotel Ibis Paris Montmartre | 5 Rue Caulaincourt | Paris | IDF | FR | 75018 | -55305968,75018,HID_000005
R018,OTA_C,Tokyo Park Hyatt,3-7-1-2 NishiShinjuku,,Tokyo,Tokyo,JP,163-1055,-53221156,Tokyo Park Hyatt | 3-7-1-2 NishiShinjuku | Tokyo | Tokyo | JP | 163-1055 | -53221156,1631055,HID_000006
R020,OTA_B,The Oberoi Udaivilās,Haridas Ji Ki Magri,Lake Pichola,Udaipur,RJ,India,313001,-2433503,The Oberoi Udaivilās | Haridas Ji Ki Magri | Udaipur | RJ | India | 313001 | -2433503,313001,HID_000007
R023,DIRECT_C,Sydney Shangri-La,176 Cumberland Street,,Sydney,NSW,AU,2000,-92505941,Sydney Shangri-La | 176 Cumberland Street | Sydney | NSW | AU | 2000 | -92505941,2000,HID_000008
R025,OTA_B,Green Valley Hotel Manali,Main Bzr Rd,,Manali,HP,India,175131,-224144,Green Valley Hotel Manali | Main Bzr Rd | Manali | HP | India | 175131 | -224144,175131,HID_000009
R028,DIRECT_C,Hotel Marriott Seoul Cntrl,No. 1 Main Street,,Seoul,Seoul,KR,28289,1,Hotel Marriott Seoul Cntrl | No. 1 Main Street | Seoul | Seoul | KR | 28289 | 1,28289,HID_000010
R031,OTA_B,Hotel Marriott Rome Cntrl,No. 1 Main Street,,Rome,RM,IT,88907,1,Hotel Marriott Rome Cntrl | No. 1 Main Street | Rome | RM | IT | 88907 | 1,88907,HID_000011
R034,OTA_C,Hotel Radisson Doha Cntrl,No. 1 Main Street,,Doha,Doha,QA,30926,1,Hotel Radisson Doha Cntrl | No. 1 Main Street | Doha | Doha | QA | 30926 | 1,30926,HID_000012
R037,OTA_C,Hotel Ibis Cape Town Cntrl,No. 1 Main Street,,Cape Town,Western Cape,ZA,22156,1,Hotel Ibis Cape Town Cntrl | No. 1 Main Street | Cape Town | Western Cape | ZA | 22156 | 1,22156,HID_000013
