record_id,source_system,hotel_name,address_line1,address_line2,city,state,country,postal_code,phone_number,hotel_text,block_key,canonical_hotel_id
R001,GDS_A,Marriott Bangalore Outer Ring Road,Outer Ring Road,Doddanekundi,Bangalore,Karnataka,IN,560103,-12345667,Marriott Bangalore Outer Ring Road | Outer Ring Road | Bangalore | Karnataka | IN | 560103 | -12345667,560103,HID_000001
R002,OTA_B,Marriott ORR Blr - Outer Ring Rd,Outer Ring Rd,,Bengaluru,Karnataka,India,560103,-12345667,Marriott ORR Blr - Outer Ring Rd | Outer Ring Rd | Bengaluru | Karnataka | India | 560103 | -12345667,560103,HID_000001
R004,GDS_A,Holiday Inn Express Whitefield,ITPL Main Road,,Bangalore,Karnataka,IN,560066,-99998877,Holiday Inn Express Whitefield | ITPL Main Road | Bangalore | Karnataka | IN | 560066 | -99998877,560066,HID_000002
R005,OTA_B,Holiday Inn Exp. Bengaluru Whitefield,ITPL Rd,Whitefield,Bengaluru,KA,India,560066,-99998877,Holiday Inn Exp. Bengaluru Whitefield | ITPL Rd | Bengaluru | KA | India | 560066 | -99998877,560066,HID_000002
R007,GDS_A,Hilton London Heathrow Airport,Heathrow Airport Terminal 4,,London,England,GB,TW6 3AF,-87589976,Hilton London Heathrow Airport | Heathrow Airport Terminal 4 | London | England | GB | TW6 3AF | -87589976,tw63af,HID_000003
R008,OTA_B,Hilton LHR T4,"Terminal 4, Heathrow Airport",,London,ENG,UK,TW6 3AF,-87589976,"Hilton LHR T4 | Terminal 4, Heathrow Airport | London | ENG | UK | TW6 3AF | -87589976",tw63af,HID_000003
R010,GDS_A,Courtyard New York Times Square,114 W 40th St,,New York,NY,US,10018,-3910299,Courtyard New York Times Square | 114 W 40th St | New York | NY | US | 10018 | -3910299,10018,HID_000004
R011,OTA_B,Courtyard NYC Times Sq,114 West 40th Street,,New York,New York,USA,10018,-3910299,Courtyard NYC Times Sq | 114 West 40th Street | New York | New York | USA | 10018 | -3910299,10018,HID_000004
R013,GDS_A,Ibis Paris Montmartre 18ème,5 Rue Caulaincourt,,Paris,Île-de-France,FR,75018,-55305968,Ibis Paris Montmartre 18ème | 5 Rue Caulaincourt | Paris | Île-de-France | FR | 75018 | -55305968,75018,HID_000005
R014,OTA_B,ibis Paris Montmartre 18th,5 Rue Caulaincourt,,Paris,Ile de France,France,75018,-55305968,ibis Paris Montmartre 18th | 5 Rue Caulaincourt | Paris | Ile de France | France | 75018 | -55305968,75018,HID_000005
R016,GDS_A,Park Hyatt Tokyo,3-7-1-2 Nishi-Shinjuku,Shinjuku-Ku,Tokyo,Tokyo,JP,163-1055,-53221156,Park Hyatt Tokyo | 3-7-1-2 Nishi-Shinjuku | Tokyo | Tokyo | JP | 163-1055 | -53221156,1631055,HID_000006
R017,OTA_B,Park Hyatt Hotel Tokyo,3-7-1-2 Nishi Shinjuku,Shinjuku,Tokyo,Tokyo Prefecture,Japan,1631055,-53221156,Park Hyatt Hotel Tokyo | 3-7-1-2 Nishi Shinjuku | Tokyo | Tokyo Prefecture | Japan | 1631055 | -53221156,1631055,HID_000006
R019,GDS_A,The Oberoi Udaivilas,Haridasji Ki Magri,Pichola,Udaipur,Rajasthan,IN,313001,-2433503,The Oberoi Udaivilas | Haridasji Ki Magri | Udaipur | Rajasthan | IN | 313001 | -2433503,313001,HID_000007
R021,GDS_A,Shangri-La Sydney,176 Cumberland Street,The Rocks,Sydney,NSW,AU,2000,-92505941,Shangri-La Sydney | 176 Cumberland Street | Sydney | NSW | AU | 2000 | -92505941,2000,HID_000008
R022,OTA_B,Shangri La Hotel Sydney,176 Cumberland St,The Rocks,Sydney,New South Wales,Australia,2000,-92505941,Shangri La Hotel Sydney | 176 Cumberland St | Sydney | New South Wales | Australia | 2000 | -92505941,2000,HID_000008
R024,GDS_A,Hotel Green Valley,Main Bazaar Road,,Manali,Himachal Pradesh,IN,175131,-224144,Hotel Green Valley | Main Bazaar Road | Manali | Himachal Pradesh | IN | 175131 | -224144,175131,HID_000009
R026,GDS_A,Marriott Seoul Central,1 Main Street,,Seoul,Seoul,KR,28289,1,Marriott Seoul Central | 1 Main Street | Seoul | Seoul | KR | 28289 | 1,28289,HID_000010
R027,GDS_A,Marriott Seoul City Center,1 Main St,Downtown,Seoul,Seo,South Korea,28289,1,Marriott Seoul City Center | 1 Main St | Seoul | Seo | South Korea | 28289 | 1,28289,HID_000010
R029,OTA_B,Marriott Rome Central,1 Main Street,,Rome,RM,IT,88907,1,Marriott Rome Central | 1 Main Street | Rome | RM | IT | 88907 | 1,88907,HID_000011
R030,DIRECT_C,Marriott Rome City Center,1 Main St,Downtown,Rome,RM,Italy,88907,1,Marriott Rome City Center | 1 Main St | Rome | RM | Italy | 88907 | 1,88907,HID_000011
R032,DIRECT_C,Radisson Doha Central,1 Main Street,,Doha,Doha,QA,30926,1,Radisson Doha Central | 1 Main Street | Doha | Doha | QA | 30926 | 1,30926,HID_000012
R033,OTA_C,Radisson Doha City Center,1 Main St,Downtown,Doha,Doh,Qatar,30926,1,Radisson Doha City Center | 1 Main St | Doha | Doh | Qatar | 30926 | 1,30926,HID_000012
R035,GDS_A,Ibis Cape Town Central,1 Main Street,,Cape Town,Western Cape,ZA,22156,1,Ibis Cape Town Central | 1 Main Street | Cape Town | Western Cape | ZA | 22156 | 1,22156,HID_000013
R036,OTA_C,Ibis Cape Town City Center,1 Main St,Downtown,Cape Town,Wes,South Africa,22156,1,Ibis Cape Town City Center | 1 Main St | Cape Town | Wes | South Africa | 22156 | 1,22156,HID_000013
R038,OTA_C,Marriott Auckland Central,1 Main Street,,Auckland,Auckland,NZ,59615,1,Marriott Auckland Central | 1 Main Street | Auckland | Auckland | NZ | 59615 | 1,59615,HID_000014
R039,OTA_C,Marriott Auckland City Center,1 Main St,Downtown,Auckland,Auc,New Zealand,59615,1,Marriott Auckland City Center | 1 Main St | Auckland | Auc | New Zealand | 59615 | 1,59615,HID_000014
R041,GDS_A,Marriott Vienna Central,1 Main Street,,Vienna,Vienna,AT,20458,1,Marriott Vienna Central | 1 Main Street | Vienna | Vienna | AT | 20458 | 1,20458,HID_000015
R042,DIRECT_C,Marriott Vienna City Center,1 Main St,Downtown,Vienna,Vie,Austria,20458,1,Marriott Vienna City Center | 1 Main St | Vienna | Vie | Austria | 20458 | 1,20458,HID_000015
R044,OTA_C,Independent Doha Central,1 Main Street,,Doha,Doha,QA,56566,1,Independent Doha Central | 1 Main Street | Doha | Doha | QA | 56566 | 1,56566,HID_000016
R045,GDS_A,Independent Doha City Center,1 Main St,Downtown,Doha,Doh,Qatar,56566,1,Independent Doha City Center | 1 Main St | Doha | Doh | Qatar | 56566 | 1,56566,HID_000016
R047,OTA_B,Ibis Montreal Central,1 Main Street,,Montreal,QC,CA,93886,1,Ibis Montreal Central | 1 Main Street | Montreal | QC | CA | 93886 | 1,93886,HID_000017
R048,OTA_C,Ibis Montreal City Center,1 Main St,Downtown,Montreal,QC,Canada,93886,1,Ibis Montreal City Center | 1 Main St | Montreal | QC | Canada | 93886 | 1,93886,HID_000017
R050,OTA_C,Marriott Chicago Central,1 Main Street,,Chicago,IL,US,18675,1,Marriott Chicago Central | 1 Main Street | Chicago | IL | US | 18675 | 1,18675,HID_000018
R051,OTA_B,Marriott Chicago City Center,1 Main St,Downtown,Chicago,IL,USA,18675,1,Marriott Chicago City Center | 1 Main St | Chicago | IL | USA | 18675 | 1,18675,HID_000018
R053,OTA_C,Independent Hanoi Central,1 Main Street,,Hanoi,Hanoi,VN,42325,1,Independent Hanoi Central | 1 Main Street | Hanoi | Hanoi | VN | 42325 | 1,42325,HID_000019
R054,DIRECT_C,Independent Hanoi City Center,1 Main St,Downtown,Hanoi,Han,Vietnam,42325,1,Independent Hanoi City Center | 1 Main St | Hanoi | Han | Vietnam | 42325 | 1,42325,HID_000019
R056,GDS_A,Ibis Copenhagen Central,1 Main Street,,Copenhagen,Hovedstaden,DK,74686,1,Ibis Copenhagen Central | 1 Main Street | Copenhagen | Hovedstaden | DK | 74686 | 1,74686,HID_000020
R057,GDS_A,Ibis Copenhagen City Center,1 Main St,Downtown,Copenhagen,Hov,Denmark,74686,1,Ibis Copenhagen City Center | 1 Main St | Copenhagen | Hov | Denmark | 74686 | 1,74686,HID_000020
R059,DIRECT_C,Independent Rio de Janeiro Central,1 Main Street,,Rio de Janeiro,RJ,BR,60019,1,Independent Rio de Janeiro Central | 1 Main Street | Rio de Janeiro | RJ | BR | 60019 | 1,60019,HID_000021
R060,OTA_C,Independent Rio de Janeiro City Center,1 Main St,Downtown,Rio de Janeiro,RJ,Brazil,60019,1,Independent Rio de Janeiro City Center | 1 Main St | Rio de Janeiro | RJ | Brazil | 60019 | 1,60019,HID_000021
R062,GDS_A,Independent Seoul Central,1 Main Street,,Seoul,Seoul,KR,94012,1,Independent Seoul Central | 1 Main Street | Seoul | Seoul | KR | 94012 | 1,94012,HID_000022
R063,OTA_C,Independent Seoul City Center,1 Main St,Downtown,Seoul,Seo,South Korea,94012,1,Independent Seoul City Center | 1 Main St | Seoul | Seo | South Korea | 94012 | 1,94012,HID_000022
R068,GDS_A,Radisson Mexico City Central,1 Main Street,,Mexico City,CDMX,MX,31174,1,Radisson Mexico City Central | 1 Main Street | Mexico City | CDMX | MX | 31174 | 1,31174,HID_000023
R069,OTA_C,Radisson Mexico City City Center,1 Main St,Downtown,Mexico City,CDM,Mexico,31174,1,Radisson Mexico City City Center | 1 Main St | Mexico City | CDM | Mexico | 31174 | 1,31174,HID_000023
R071,GDS_A,Hilton Garden Inn Lisbon Central,1 Main Street,,Lisbon,Lisboa,PT,50306,1,Hilton Garden Inn Lisbon Central | 1 Main Street | Lisbon | Lisboa | PT | 50306 | 1,50306,HID_000024
R072,OTA_B,Hilton Garden Inn Lisbon City Center,1 Main St,Downtown,Lisbon,Lis,Portugal,50306,1,Hilton Garden Inn Lisbon City Center | 1 Main St | Lisbon | Lis | Portugal | 50306 | 1,50306,HID_000024
R074,OTA_B,Sofitel Vienna Central,1 Main Street,,Vienna,Vienna,AT,79822,1,Sofitel Vienna Central | 1 Main Street | Vienna | Vienna | AT | 79822 | 1,79822,HID_000025
R075,DIRECT_C,Sofitel Vienna City Center,1 Main St,Downtown,Vienna,Vie,Austria,79822,1,Sofitel Vienna City Center | 1 Main St | Vienna | Vie | Austria | 79822 | 1,79822,HID_000025
R077,OTA_B,DoubleTree Auckland Central,1 Main Street,,Auckland,Auckland,NZ,37760,1,DoubleTree Auckland Central | 1 Main Street | Auckland | Auckland | NZ | 37760 | 1,37760,HID_000026
R078,OTA_C,DoubleTree Auckland City Center,1 Main St,Downtown,Auckland,Auc,New Zealand,37760,1,DoubleTree Auckland City Center | 1 Main St | Auckland | Auc | New Zealand | 37760 | 1,37760,HID_000026
R080,GDS_A,Sofitel Copenhagen Central,1 Main Street,,Copenhagen,Hovedstaden,DK,42493,1,Sofitel Copenhagen Central | 1 Main Street | Copenhagen | Hovedstaden | DK | 42493 | 1,42493,HID_000027
R081,OTA_C,Sofitel Copenhagen City Center,1 Main St,Downtown,Copenhagen,Hov,Denmark,42493,1,Sofitel Copenhagen City Center | 1 Main St | Copenhagen | Hov | Denmark | 42493 | 1,42493,HID_000027
R083,OTA_B,Ibis Montreal Central,1 Main Street,,Montreal,QC,CA,92719,1,Ibis Montreal Central | 1 Main Street | Montreal | QC | CA | 92719 | 1,92719,HID_000028
R084,GDS_A,Ibis Montreal City Center,1 Main St,Downtown,Montreal,QC,Canada,92719,1,Ibis Montreal City Center | 1 Main St | Montreal | QC | Canada | 92719 | 1,92719,HID_000028
R086,OTA_B,Hilton Garden Inn Brussels Central,1 Main Street,,Brussels,BRU,BE,73624,1,Hilton Garden Inn Brussels Central | 1 Main Street | Brussels | BRU | BE | 73624 | 1,73624,HID_000029
R087,DIRECT_C,Hilton Garden Inn Brussels City Center,1 Main St,Downtown,Brussels,BRU,Belgium,73624,1,Hilton Garden Inn Brussels City Center | 1 Main St | Brussels | BRU | Belgium | 73624 | 1,73624,HID_000029
R089,DIRECT_C,Pullman Istanbul Central,1 Main Street,,Istanbul,Istanbul,TR,66498,1,Pullman Istanbul Central | 1 Main Street | Istanbul | Istanbul | TR | 66498 | 1,66498,HID_000030
R090,DIRECT_C,Pullman Istanbul City Center,1 Main St,Downtown,Istanbul,Ist,Turkey,66498,1,Pullman Istanbul City Center | 1 Main St | Istanbul | Ist | Turkey | 66498 | 1,66498,HID_000030
R092,OTA_C,Independent Rome Central,1 Main Street,,Rome,RM,IT,17944,1,Independent Rome Central | 1 Main Street | Rome | RM | IT | 17944 | 1,17944,HID_000031
R093,GDS_A,Independent Rome City Center,1 Main St,Downtown,Rome,RM,Italy,17944,1,Independent Rome City Center | 1 Main St | Rome | RM | Italy | 17944 | 1,17944,HID_000031
